1687,111130.91,65.87,8.08,84.2,4
380,3507.91,9.23,0,22.31,1
158,231.42,1.46,0.34,3.44,3
80,192.02,2.4,0.67,4.52,2
89,772.39,8.68,0.41,27.39,4
1334,3562.07,2.67,0,16.98,1
188,286.6,1.52,0.04,4.58,3
540,72.8,0.13,0,1.87,3
610,786.75,1.29,0,5.69,3
1184,4740.63,4,0,10.48,2
205,313.02,1.53,0,4.14,3
110,67.2,0.61,0,1.35,3
233,262.98,1.13,0,3.73,3
784,2514.44,3.21,0.19,10.39,2
390,489.79,1.26,0.38,3.51,3
800,222.06,0.28,0.08,0.8,3
932,2418.68,2.6,0.33,7.61,2
1743,111866.86,64.18,8.49,84.09,4
635,851.56,1.34,0,4.68,3
739,1776.93,2.4,0,8.5,2
445,3937.59,8.85,0,18.25,1
695,2092.97,3.01,0.6,8.43,2
748,2793.1,3.73,0,10.18,2
1498,15034.82,10.04,0.53,36.55,1
870,2350.47,2.7,0,9.83,2
2335,1400.18,0.6,0,6,3
766,6950.96,9.07,0,19.48,1
1519,8444.04,5.56,0,20.65,1
76,107.06,1.41,0.24,3.09,3
783,6748.39,8.62,0,28.76,1
66,592.88,8.98,2.98,14.1,1
325,489.98,1.51,0,2.96,3
888,3285.97,3.7,0,8.88,2
1062,11413.08,10.75,0.71,23.21,1
225,1690.28,7.51,0,13.02,1
1206,2904.95,2.41,0,9.72,2
12633,24282.61,1.92,0,27.44,1
2063,29472.33,14.29,0,34.72,1
102,194.97,1.91,0.99,4.1,3
462,2434.56,5.27,0,29.6,1
1343,1123.96,0.84,0.11,1.87,3
3733,13394.59,3.59,0,31.4,1
1608,10583.13,6.58,0,20.81,1
1802,1712.98,0.95,0.07,4.68,3
694,1068,1.54,0,6.07,2
3888,2077.37,0.53,0.05,4.76,2
330,411.12,1.25,0,4.21,3
1672,606.69,0.36,0,4.34,3
1960,7226.8,3.69,0,18.82,1
170,253.97,1.49,0.04,2.81,2
2130,4888.77,2.3,0,9.06,2
1911,873.41,0.46,0,4.23,3
562,1833.89,3.26,0.11,8.37,2
295,274.58,0.93,0,2.26,3
54,88.44,1.64,0.28,3.55,3
